2024.03.16 05:22:51 AM INFO | __name__ | 189 | firstRoll | Function roll() called successfully
2024.03.16 05:22:57 AM INFO | __name__ | 207 | firstRoll | Function make_choice() being called from roll() - roll1
2024.03.16 05:22:57 AM INFO | __name__ | 246 | make_choice | Function make_choice() called successfully
2024.03.16 05:23:08 AM INFO | __name__ | 287 | make_choice | Roll1 Discards: 
2024.03.16 05:23:30 AM INFO | __name__ | 333 | make_choice | Roll2 Discards:
2024.03.16 05:23:30 AM INFO | __name__ | 173 | play | Function firstRoll() being called from play()
2024.03.16 06:02:47 AM INFO | __name__ | 171 | play | New game started.
2024.03.16 06:02:47 AM INFO | __name__ | 189 | firstRoll | Function roll() called successfully
2024.03.16 06:02:51 AM INFO | __name__ | 207 | firstRoll | Function make_choice() being called from roll() - roll1
2024.03.16 06:02:51 AM INFO | __name__ | 247 | make_choice | Function make_choice() called successfully
2024.03.16 06:03:02 AM INFO | __name__ | 288 | make_choice | Roll1 Discards: 
2024.03.16 06:03:07 AM INFO | __name__ | 293 | make_choice | Function roll() called successfully
2024.03.16 06:29:55 AM INFO | __name__ | 171 | play | New game started.
2024.03.16 06:29:55 AM INFO | __name__ | 189 | firstRoll | Function roll() called successfully
2024.03.16 06:30:00 AM INFO | __name__ | 211 | firstRoll | Function make_choice() being called from roll() - roll1
2024.03.16 06:30:00 AM INFO | __name__ | 173 | play | Function firstRoll() being called from play()
2024.03.16 06:31:04 AM INFO | __name__ | 171 | play | New game started.
2024.03.16 06:31:04 AM INFO | __name__ | 189 | firstRoll | Function roll() called successfully
2024.03.16 06:31:10 AM INFO | __name__ | 203 | firstRoll | Function score_test() being called from roll() - roll1
2024.03.16 06:31:10 AM INFO | __name__ | 173 | play | Function firstRoll() being called from play()
2024.03.16 06:31:51 AM INFO | __name__ | 171 | play | New game started.
2024.03.16 06:31:51 AM INFO | __name__ | 189 | firstRoll | Function roll() called successfully
2024.03.16 06:31:57 AM INFO | __name__ | 211 | firstRoll | Function make_choice() being called from roll() - roll1
2024.03.16 06:31:57 AM INFO | __name__ | 173 | play | Function firstRoll() being called from play()
2024.03.16 09:24:49 AM INFO | __name__ | 171 | play | New game started.
2024.03.16 09:24:49 AM INFO | __name__ | 189 | firstRoll | Function roll() called successfully
2024.03.16 09:24:55 AM INFO | __name__ | 211 | firstRoll | Function make_choice() being called from roll() - roll1
2024.03.16 09:24:55 AM INFO | __name__ | 173 | play | Function firstRoll() being called from play()
2024.03.16 09:29:05 AM INFO | __name__ | 171 | play | New game started.
2024.03.16 09:29:05 AM INFO | __name__ | 189 | firstRoll | Function roll() called successfully
